appid,review_score,review_score_desc,total_reviews
3205720,0.0,No user reviews,0.0
298050,6.0,Mostly Positive,4628.0
1577120,8.0,Very Positive,6788.0
2492430,0.0,No user reviews,0.0
774171,8.0,Very Positive,28592.0
868360,8.0,Very Positive,3157.0
2103140,9.0,Overwhelmingly Positive,2849.0
80,8.0,Very Positive,7112.0
2888120,8.0,Very Positive,170.0
675010,8.0,Very Positive,10117.0
1495320,8.0,Very Positive,3063.0
3864220,0.0,No user reviews,0.0
204880,8.0,Very Positive,7242.0
624090,5.0,Mixed,1651.0
1288320,8.0,Very Positive,3973.0
1948980,8.0,Very Positive,1785.0
19680,8.0,Very Positive,9623.0
606880,6.0,Mostly Positive,10251.0
3553500,0.0,No user reviews,0.0
215080,5.0,Mixed,53.0
1881700,0.0,No user reviews,0.0
3191030,9.0,Overwhelmingly Positive,11021.0
363150,5.0,Mixed,857.0
489520,6.0,Mostly Positive,658.0
1364390,0.0,5 user reviews,5.0
2058190,9.0,Overwhelmingly Positive,3275.0
3916620,0.0,1 user reviews,1.0
22490,8.0,Very Positive,2304.0
228180,8.0,Very Positive,1632.0
3358510,0.0,8 user reviews,8.0
631510,8.0,Very Positive,6782.0
2138710,8.0,Very Positive,6775.0
239030,9.0,Overwhelmingly Positive,37786.0
537180,5.0,Mixed,94.0
1069740,8.0,Very Positive,3458.0
1928980,6.0,Mostly Positive,9956.0
1976440,0.0,No user reviews,0.0
524660,5.0,Mixed,31.0
1161580,8.0,Very Positive,15363.0
2963870,0.0,No user reviews,0.0
304240,8.0,Very Positive,10352.0
1190340,5.0,Mixed,62.0
1927780,0.0,No user reviews,0.0
15170,8.0,Very Positive,1262.0
273110,5.0,Mixed,160.0
319630,9.0,Overwhelmingly Positive,53396.0
463530,9.0,Overwhelmingly Positive,9402.0
15370,8.0,Very Positive,889.0
560130,8.0,Very Positive,7981.0
1451090,6.0,Mostly Positive,1962.0
1606340,8.0,Very Positive,1034.0
418030,6.0,Mostly Positive,6741.0
1486920,8.0,Very Positive,4148.0
1641650,0.0,No user reviews,0.0
1690940,0.0,No user reviews,0.0
2665680,6.0,Mostly Positive,986.0
418530,8.0,Very Positive,13641.0
2171440,9.0,Overwhelmingly Positive,6745.0
377840,8.0,Very Positive,6362.0
1180320,0.0,No user reviews,0.0
1229240,8.0,Very Positive,4252.0
834910,5.0,Mixed,19850.0
1651560,8.0,Very Positive,3086.0
2941710,9.0,Overwhelmingly Positive,1689.0
207610,9.0,Overwhelmingly Positive,23297.0
234330,5.0,Mixed,13.0
3062740,0.0,No user reviews,0.0
38400,9.0,Overwhelmingly Positive,10514.0
65980,5.0,Mixed,9889.0
313690,8.0,Very Positive,2957.0
712100,5.0,Mixed,6926.0
1702010,6.0,Mostly Positive,2321.0
610370,9.0,Overwhelmingly Positive,4055.0
960990,8.0,Very Positive,6744.0
1980920,0.0,No user reviews,0.0
282440,8.0,Very Positive,2494.0
410340,9.0,Overwhelmingly Positive,5994.0
